country_std,indicator_name,sex,age_group,age_categories,Year,Unemployment,GDP
Croatia,Unemployment rate by sex and age,Male,15-24,Youth,2020,18.77,57919.0
Croatia,Unemployment rate by sex and age,Male,25+,Adults,2020,6.336,57919.0
Croatia,Unemployment rate by sex and age,Male,Under 15,Children,2020,7.451,57919.0
Cyprus,Unemployment rate by sex and age,Female,15-24,Youth,2020,12.375,25535.0
Cyprus,Unemployment rate by sex and age,Female,25+,Adults,2020,7.412,25535.0
Cyprus,Unemployment rate by sex and age,Female,Under 15,Children,2020,7.826,25535.0
Cyprus,Unemployment rate by sex and age,Male,15-24,Youth,2020,23.774,25535.0
Cyprus,Unemployment rate by sex and age,Male,25+,Adults,2020,6.343,25535.0
Cyprus,Unemployment rate by sex and age,Male,Under 15,Children,2020,7.706,25535.0
Ivory Coast,Unemployment rate by sex and age,Female,15-24,Youth,2020,5.44,63119.0
Ivory Coast,Unemployment rate by sex and age,Female,25+,Adults,2020,2.504,63119.0
Ivory Coast,Unemployment rate by sex and age,Female,Under 15,Children,2020,3.234,63119.0
Ivory Coast,Unemployment rate by sex and age,Male,15-24,Youth,2020,3.587,63119.0
Ivory Coast,Unemployment rate by sex and age,Male,25+,Adults,2020,1.759,63119.0
Ivory Coast,Unemployment rate by sex and age,Male,Under 15,Children,2020,2.186,63119.0
Denmark,Unemployment rate by sex and age,Female,15-24,Youth,2020,10.615,355631.0
Denmark,Unemployment rate by sex and age,Female,25+,Adults,2020,5.171,355631.0
Denmark,Unemployment rate by sex and age,Female,Under 15,Children,2020,5.984,355631.0
Denmark,Unemployment rate by sex and age,Male,15-24,Youth,2020,12.529,355631.0
Denmark,Unemployment rate by sex and age,Male,25+,Adults,2020,4.178,355631.0
Denmark,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.334,355631.0
Djibouti,Unemployment rate by sex and age,Female,15-24,Youth,2020,83.99,3144.0
Djibouti,Unemployment rate by sex and age,Female,25+,Adults,2020,28.611,3144.0
Djibouti,Unemployment rate by sex and age,Female,Under 15,Children,2020,38.015,3144.0
Djibouti,Unemployment rate by sex and age,Male,15-24,Youth,2020,80.463,3144.0
Djibouti,Unemployment rate by sex and age,Male,25+,Adults,2020,17.051,3144.0
Djibouti,Unemployment rate by sex and age,Male,Under 15,Children,2020,23.708,3144.0
Dominican Republic,Unemployment rate by sex and age,Female,15-24,Youth,2020,20.813,78625.0
Dominican Republic,Unemployment rate by sex and age,Female,25+,Adults,2020,7.179,78625.0
Dominican Republic,Unemployment rate by sex and age,Female,Under 15,Children,2020,9.083,78625.0
Dominican Republic,Unemployment rate by sex and age,Male,15-24,Youth,2020,11.644,78625.0
Dominican Republic,Unemployment rate by sex and age,Male,25+,Adults,2020,2.713,78625.0
Dominican Republic,Unemployment rate by sex and age,Male,Under 15,Children,2020,4.227,78625.0
Ecuador,Unemployment rate by sex and age,Female,15-24,Youth,2020,15.022,95865.0
Ecuador,Unemployment rate by sex and age,Female,25+,Adults,2020,6.005,95865.0
Ecuador,Unemployment rate by sex and age,Female,Under 15,Children,2020,7.359,95865.0
Ecuador,Unemployment rate by sex and age,Male,15-24,Youth,2020,8.711,95865.0
Ecuador,Unemployment rate by sex and age,Male,25+,Adults,2020,4.603,95865.0
Ecuador,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.293,95865.0
Egypt,Unemployment rate by sex and age,Female,15-24,Youth,2020,46.175,382525.0
Egypt,Unemployment rate by sex and age,Female,25+,Adults,2020,13.343,382525.0
Egypt,Unemployment rate by sex and age,Female,Under 15,Children,2020,17.646,382525.0
Egypt,Unemployment rate by sex and age,Male,15-24,Youth,2020,13.13,382525.0
Egypt,Unemployment rate by sex and age,Male,25+,Adults,2020,4.738,382525.0
Egypt,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.928,382525.0
El Salvador,Unemployment rate by sex and age,Female,15-24,Youth,2020,14.79,24921.0
El Salvador,Unemployment rate by sex and age,Female,25+,Adults,2020,3.629,24921.0
El Salvador,Unemployment rate by sex and age,Female,Under 15,Children,2020,5.423,24921.0
El Salvador,Unemployment rate by sex and age,Male,15-24,Youth,2020,9.26,24921.0
El Salvador,Unemployment rate by sex and age,Male,25+,Adults,2020,3.415,24921.0
El Salvador,Unemployment rate by sex and age,Male,Under 15,Children,2020,4.723,24921.0
Equatorial Guinea,Unemployment rate by sex and age,Female,15-24,Youth,2020,20.146,9908.0
Equatorial Guinea,Unemployment rate by sex and age,Female,25+,Adults,2020,8.367,9908.0
Equatorial Guinea,Unemployment rate by sex and age,Female,Under 15,Children,2020,10.056,9908.0
Equatorial Guinea,Unemployment rate by sex and age,Male,15-24,Youth,2020,16.669,9908.0
Equatorial Guinea,Unemployment rate by sex and age,Male,25+,Adults,2020,7.174,9908.0
Equatorial Guinea,Unemployment rate by sex and age,Male,Under 15,Children,2020,8.296,9908.0
Eritrea,Unemployment rate by sex and age,Female,15-24,Youth,2020,12.853,1982.0
Eritrea,Unemployment rate by sex and age,Female,25+,Adults,2020,4.623,1982.0
Eritrea,Unemployment rate by sex and age,Female,Under 15,Children,2020,7.233,1982.0
Eritrea,Unemployment rate by sex and age,Male,15-24,Youth,2020,10.058,1982.0
Eritrea,Unemployment rate by sex and age,Male,25+,Adults,2020,3.72,1982.0
Eritrea,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.764,1982.0
Estonia,Unemployment rate by sex and age,Female,15-24,Youth,2020,18.355,31795.0
Estonia,Unemployment rate by sex and age,Female,25+,Adults,2020,5.674,31795.0
Estonia,Unemployment rate by sex and age,Female,Under 15,Children,2020,6.619,31795.0
Estonia,Unemployment rate by sex and age,Male,15-24,Youth,2020,17.322,31795.0
Estonia,Unemployment rate by sex and age,Male,25+,Adults,2020,6.07,31795.0
Estonia,Unemployment rate by sex and age,Male,Under 15,Children,2020,6.969,31795.0
Eswatini,Unemployment rate by sex and age,Female,15-24,Youth,2020,56.03,3984.0
Eswatini,Unemployment rate by sex and age,Female,25+,Adults,2020,21.247,3984.0
Eswatini,Unemployment rate by sex and age,Female,Under 15,Children,2020,26.501,3984.0
Eswatini,Unemployment rate by sex and age,Male,15-24,Youth,2020,50.607,3984.0
Eswatini,Unemployment rate by sex and age,Male,25+,Adults,2020,19.1,3984.0
Eswatini,Unemployment rate by sex and age,Male,Under 15,Children,2020,23.234,3984.0
